AREA
JUZGADO MIXTO DE ACAPONETA
JUZGADO MIXTO DE AHUACATLAN
AMATLAN DE CAÑAS
JUZGADO PRIMERO CIVIL BUCERÍAS
JUZGADO SEGUNDO CIVIL BUCERÍAS
JUZGADO TERCERO CIVIL BUCERIAS
JUZGADO MIXTO DE COMPOSTELA
JUZGADO DE HUAJICORI
JUZGADO MIXTO DE IXTLAN DEL RIO
JUZGADO MIXTO DE JALA
JUZGADO MIXTO DE JESÚS MARÍA
JUZGADO MIXTO DE LAS VARAS
JUZGADO MEXTO DE PUENTE DE CAMOTLAN
JUZGADO MIXTO DE ROSAMORADA
JUZGADO MIXTO DE RUÍZ
JUZGADO MIXTO DE SAN BLAS
JUZGADO MIXTO DE SANTA MARÍA DEL ORO
JUZGADO PRIMERO MIXTO DE SANTIAGO IXCUINTLA
JUZGADO SEGUNDO MIXTO DE SANTIAGO IXCUINTLA
JUZGADO MIXTO DE SAN PEDRO LAGUNILLAS
JUZGADO MIXTO DE TECUALA
JUZGADO PRIMERO CIVIL DE TEPIC
JUZGADO SEGUNDO CIVIL DE TEPIC
JUZGADO TERCERO CIVIL DE TEPIC
JUZGADO PRIMERO FAMILIAR
JUZGADO SEGUNDO FAMILIAR
JUZGADO TERCERO FAMILIAR
JUZGADO CUARTO FAMILIAR
JUZGADO QUINTO FAMILIAR
JUZGADO PRIMERO MERCANTIL
JUZGADO SEGUNDO MERCANTIL
JUZGADO TERCERO MERCANTIL
JUZGADO PRIMERO PENAL
JUZGADO MIXTO DE TUXPAN
JUZGADO MIXTO DE VILLA HIDALGO
JUZGADO PRIMERO DE ORALIDAD MERCANTIL
JUZGADO SEGUNDO DE ORALIDAD MERCANTIL
CENTRO REGIONAL DE JUSTICIA PENAL ORAL DE BAHÍA DE BANDERAS
CENTRO REGIONAL DE JUSTICIA PENAL ORAL DE IXTLÁN DEL RÍO
CENTRO REGIONAL DE JUSTICIA PENAL ORAL DE SAN PEDRO LAGUNILLAS
CENTRO REGIONAL DE JUSTICIA PENAL ORAL DE SANTIAGO IXCUINTLA
CENTRO REGIONAL DE JUSTICIA PENAL ORAL DE TECUALA
CENTRO REGIONAL DE JUSTICIA PENAL ORAL DE TEPIC.
"CENTRO  DE JUSTICIA DE NIÑAS, NIÑOS Y  ADOLESCENTES"
"JUZGADO PRIMERO DE EJECUCIÓN DE SANCIONES PENALES, MEDIDAS DE SEGURIDAD Y PRISIÓN PREVENTIVA.  SISTEMA TRADICIONAL"
"JUZGADO SEGUNDO DE EJECUCIÓN DE SANCIONES PENALES, MEDIDAS DE SEGURIDAD Y PRISIÓN PREVENTIVA.  SISTEMA PENAL ACUSATORIO"
TRIBUNAL DE JUSTICIA LABORAL REGION  I TEPIC
TRIBUNAL DE JUSTICIA LABORAL REGION II  BAHÍA DE BANDERAS
SECRETARÍA  GENERAL  DE ACUERDOS DEL TRIBUNAL SUPERIOR DE JUSTICIA


SECRETARIA EJECUTIVA DEL CONSEJO DE LA JUDICATURA
DIRECCION DE ASUNTOS JURIDICOS Y LABORALES
UNIDAD DE TRANSPARENCIA
DEPARTAMENTO DE COMPUEDICIÓN Y LOGÍSTICA
DEPARTAMENTO DE PRODUCCIÓN AUDIOVISUAL.
UNIDAD DE COMUNICACIÓN SOCIAL
SECRETARÍA DE VINCULACIÓN  Y CONTROL JURISDICCIONAL
CENTRO DE CONVIVENCIA FAMILIAR
CENTRO ESTATAL DE JUSTICIA ALTERNATIVA
ESCUELA JUDICIAL
CONTRALORÍA INTERNA
SECRETARIA DE ADMINISTRACIÓN
DIRECCION GENERAL DE RECURSOS HUMANOS Y NOMINAS
DEPARTAMENTO DE RECURSOS MATERIALES Y SERVICIOS GENERALES
DEPARTAMENTO DE CONTROL PRESUPUESTAL
DEPARTAMENTO DE NOMINAS
DEPARTAMENTO DE RECURSOS FINANCIEROS
DEPARTAMENTO DE FONDO DEL PODER JUDICIAL
DIRECCION DE TECNOLOGIAS DE LA INFORMACION 
DEPARTAMENTO DE PLANEACION INSTITUCIONAL
"DEPARTAMENTO DE CONTROL PATRIMONIAL, SEGURIDAD E HIGIENE"
SECRETARÍA DE LA CARRERA JUDICIAL
BIBLIOTECA
CARRERA JUDICIAL
CARRERA Y ESCUELA JUDICIAL
DEPARTAMENTO DE INVESTIGACIÓN JURÍDICA
SALA PENAL
SALA CIVIL
 SALA DE JURISDICCIÓN MIXTA
PRIMERA SALA UNITARIA
SEGUNDA SALA UNITARIA
TERCERA SALA UNITARIA
